left_context,delimiter,right_context,label
 Ex. F,.,", Vidi",0
ch Dep,., at 61,0
 61-63,;," id., ",0
63; id,.,", Ex. ",0
"d., Ex",., N; Go,0
 Ex. N,;, Goodm,0
dman R,.," Aff.,",0
R. Aff,.,", Ex. ",0
"f., Ex",.," B., S",0
 Ex. B,.,", Silv",0
er Dep,., at 64,0
 64-65,;," id., ",0
65; id,.,", Ex. ",0
"d., Ex",.," D, Ei",0
rg Dep,., at 13,0
130-32,;," id., ",0
32; id,.,", Ex. ",0
"d., Ex",.," E., E",0
 Ex. E,.,", Evan",0
ns Dep,., 145-4,0
145-48,.,"

Fina",1
 510 U,.,S. at ,0
10 U.S,., at 57,0
 114 S,., Ct. 1,0
 S. Ct,.," 1164,",0
hat My,., MP3.c,0
y. MP3,.,com pr,0
irates,.,""" Copy",0
erests,., Moreo,1
ke MP3,.,com; t,0
P3.com,;, they ,0
 works,., Strip,1
for it,., This ,1
equity,.,"

In s",1
of law,., Defen,1
riefly,., While,1
","" Def",.,'s Con,0
ed Opp,., to Pl,0
to Pls,.,' Moti,0
r Summ,.,J. at ,0
Summ.J,., at 21,0
"em, cf",., Broad,0
"c, Inc",., v. Pe,0
Inc. v,., Peppe,0
"b, Inc",.,", 1985",0
 *4 (N,.,D.Ohio,0
4 (N.D,.,Ohio D,0
io Dec,.,"16, 19",0
 1985),., The a,1
st MP3,.,com sh,0
er MP3,.,com la,0
ing My,.,MP3.co,0
My.MP3,.,com se,0
rights,., See R,1
r & Co,.,", Inc.",0
"., Inc",., v. H.,0
Inc. v,., H.R. ,0
. v. H,.,R. Ind,0
v. H.R,., Indus,0
 Indus,.,", Inc.",0
"., Inc",.,", 10 F",0
", 10 F",., Supp.,0
. Supp,., 2d 31,0
313 (S,.,D.N.Y.,0
3 (S.D,.,N.Y.19,0
(S.D.N,.,Y.1998,0
.D.N.Y,.,1998).,0
.1998),., Simil,1
t's My,.,MP3.co,0
My.MP3,.,com se,0
ervice,., Final,1
ntiffs,., See g,1
llen v,., Local,0
 149 F,.,"3d 85,",0
2d Cir,.,1998);,0
.1998),;, A.H. ,0
98); A,.,H. Eme,0
); A.H,., Emery,0
ery Co,., v. Ma,0
 Co. v,., Marca,0
 Prods,., Corp.,0
. Corp,.,", 389 ",0
 389 F,.,"2d 11,",0
", 18 n",., 4 (2d,0
2d Cir,.,"), cer",0
", cert",., denie,0
 393 U,.,S. 835,0
93 U.S,.," 835, ",0
", 89 S",., Ct. 1,0
 S. Ct,.," 109, ",0
", 21 L",., Ed. 2,0
 L. Ed,., 2d 10,0
(1968),.,"[3]

T",0
omment,.,"

Acco",1
rights,.,"

NOTE",1
ht Act,.," See, ",1
"See, e",.,"g., 17",0
"e, e.g",.,", 17 U",0
", 17 U",.,S.C. §,0
17 U.S,.,C. § 1,0
 U.S.C,., § 114,0
114(b),., Speci,1
rdings,., See D,1
ee Def,.,'s Con,0
ed Opp,., to Pl,0
to Pls,.,' Moti,0
l Summ,.,J. at ,0
Summ.J,., at 13,0
3-14 n,., 9. De,0
4 n. 9,., Defen,1
he two,., Id. M,1
wo. Id,., Moreo,1
ssible,., See G,1
ly Aff,.,", Robe",0
on Dep,.,", Ex. ",0
"p., Ex",.," A, at",0
 at 85,., In su,1
he Act,.,"

[2] ",1
"t, Inc",., v. Co,0
Inc. v,., Conne,0
x Corp,.,", 203 ",0
 203 F,.,3d 596,0
th Cir,.,2000);,0
.2000),;, Sega ,0
es Ltd,., v. Ac,0
Ltd. v,., Accol,0
"e, Inc",.,", 977 ",0
 977 F,.,2d 151,0
th Cir,.,"1992),",0
 203 F,.,3d at ,0
at 606,;, Sega ,0
 977 F,.,2d at ,0
medium,.,"

[3] ",1
 et al,., v. Ti,0
 al. v,., Time ,0
"r, Inc",.,", et a",0
 et al,.,", 00 C",0
00 Civ,., 2839 ,0
839 (S,.,D.N.Y.,0
9 (S.D,.,N.Y. f,0
(S.D.N,.,Y. fil,0
.D.N.Y,., filed,0
ed Apr,.," 12, 2",0
rights,., The a,1
dgment,.,,1
ates v,., LaMac,0
 871 F,., Supp.,0
. Supp,., 535 (,0
535 (D,., Mass.,0
. Mass,., 1994),0
"urt, D",., Massa,0
"
Filed",:, Decem,0
Status,:, Prece,0
ations,:, 871 F,0
 871 F,., Supp.,0
. Supp,.," 535
D",0
Number,:, Crim.,0
: Crim,., A. No,0
rim. A,., No. 9,0
 A. No,., 94-10,0
Author,:, Richa,0
"
871 F",., Supp.,0
. Supp,., 535 (,0
"rica
v",.,"
David",0
ACCHIA,.,"

Crim",1
"

Crim",., A. No,0
rim. A,., No. 9,0
 A. No,., 94-10,0
92-RGS,.,"
Unite",1
"urt, D",., Massa,0
usetts,.,"

Dece",1
", 1994",.,"
*536 ",1
rvey A,., Silve,0
endant,.,"

Jean",1
anne M,., Kempt,0
"rne, U",.,S. Att,0
"e, U.S",., Attor,0
 for U,.,"S.

ME",0
or U.S,.,"

MEMO",1
 Judge,.,"

This",1
bottle,., The f,1
 these,., The d,1
 (MIT),., LaMac,1
ternet,., Using,1
nosure,.,[1] He,0
xcel 5,.,0 and ,0
fect 6,.,0) and,0
 2000),., These,1
ssword,., Altho,1
rities,.,"

On A",1
e 18 U,.,S.C. §,0
18 U.S,.,C. § 1,0
 U.S.C,., § 134,0
tatute,., Accor,1
endors,., The i,1
olders,., The i,1
efraud,.,"

On S",1
ling v,., Unite,0
 473 U,.,S. 207,0
73 U.S,.," 207, ",0
 105 S,., Ct. 3,0
 S. Ct,.," 3127,",0
  87 L,., Ed. 2,0
 L. Ed,., 2d 15,0
(1985),., The g,1
", 18 U",.,S.C. §,0
18 U.S,.,C. § 2,0
 U.S.C,., § 231,0
§ 2314,.,"

THE ",1
fornia,., Dowli,1
fornia,., The i,1
lorida,., The e,1
albums,.," ""[E]a",1
s paid,.,"..."" D",1
 paid.,.,".."" Do",0
paid..,.,"."" Dow",0
aid...,.,""" Dowl",0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
t 3130,., Dowli,1
ement),., The N,1
firmed,.," ""[T]h",1
tatute,.,""" Id.
",0
"e."" Id",.,"

The ",1
operty,.,[2] Th,0
ty Act,., Justi,1
andise,.,"'"" The",0
"ds"" Id",., at 21,0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
t 3133,., In Do,1
e made,.,""" Dowl",0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
t 3132,.,"

Just",1
 fraud,.,"""

[T]",0
yright,., The c,1
hattel,., A cop,1
ctions,., Id. a,1
ns. Id,., at 21,0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
t 3133,.,"
A cop",1
 owned,., The l,1
 ideas,.," ""The ",1
l Arts,.,' Art.,0
.' Art,.," I, § ",0
" 8, cl",.," 8."" F",0
 cl. 8,.,""" Feis",0
"s, Inc",., v. Ru,0
Inc. v,., Rural,0
ice Co,.,", 499 ",0
 499 U,.,S. 340,0
99 U.S,.," 340, ",0
 111 S,., Ct. 1,0
 S. Ct,.," 1282,",0
 113 L,., Ed. 2,0
 L. Ed,., 2d 35,0
(1991),., Data ,1
8 Corp,., v. Gr,0
orp. v,., Grumm,0
", 36 F",.,3d 114,0
st Cir,.,1994) ,0
(same),., Justi,1
 (17 U,.,S.C. §,0
17 U.S,.,C. § 1,0
 U.S.C,., § 107,0
 (17 U,.,S.C. §,0
17 U.S,.,C. § 1,0
 U.S.C,., § 115,0
ht Act,.,[3]Dow,0
 473 U,.,S. at ,0
73 U.S,., at 21,0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
t 3133,.,"

It f",1
 fraud,., The C,1
yright,:," ""Anyo",0
yright,.,""" Ther",0
rights,., It is,1
§ 2314,., The i,1
 alone,., But h,1
yright,;, nor d,0
ts use,., While,1
 fraud,., As a ,1
iminal,., Id. a,1
al. Id,., at 21,0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
itted),.,"
The I",1
 lines,., Id. a,1
es. Id,., at 21,0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
4-3135,.,"

No s",1
s area,.,... Gi,1
 area.,.,.. Giv,0
area..,.,. Give,0
rea...,., Given,1
rnment,.,... In,1
nment.,.,.. In ,0
ment..,.,. In s,0
ent...,., In su,1
h here,., Id. a,1
re. Id,., at 22,0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
t 3135,.,"
A rev",1
e that,:,"

""[T]",1
alties,.,... In,1
lties.,.,.. In ,0
ties..,.,. In s,0
ies...,., In st,1
ht law,., The G,1
rectly,., Id. a,1
ly. Id,., at 22,0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
t 3137,.,"
Final",1
alties,.," Here,",1
onduct,.,""" Id. ",0
"t."" Id",., at 22,0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
itted),., Dowli,1
versed,.,"

THE ",1
" 8, cl",., 8 of ,0
 the U,.,S. Con,0
he U.S,., Const,0
veries,.,""" Thus",0
ngress,.,"'"" Son",0
rica v,., Unive,0
"s, Inc",.,", 464 ",0
 464 U,.,S. 417,0
64 U.S,.," 417, ",0
 104 S,., Ct. 7,0
 S. Ct,.," 774, ",0
", 78 L",., Ed. 2,0
 L. Ed,., 2d 57,0
pson v,., Hubba,0
 131 U,.,S. 123,0
31 U.S,.," 123, ",0
"1, 9 S",., Ct. 7,0
 S. Ct,.," 710, ",0
", 33 L",., Ed. 7,0
 L. Ed,., 76 (1,0
1889)),., Since,1
into U,.,S. cop,0
to U.S,., copyr,0
tation,.,"

Unti",1
t was ,.,.. lim,0
 was .,.,. limi,0
was ..,., limit,0
itions,.,""" Saun",0
1 Denv,.,U.L.Re,0
Denv.U,.,L.Rev.,0
nv.U.L,.,Rev. 6,0
.L.Rev,.," 671, ",0
(1994),., The 1,1
n 1976,.,"

In 1",1
rdings,., Copyr,1
"09, ch",.," 320, ",0
3 Stat,., 1075-,0
5-1082,., The 1,1
vities,., Perfo,1
 works,., After,1
mposer,., Id. §,1
er. Id,., §§ 1(,0
 25(e),.,"

The ",1
ention,., See H,1
 See H,.,R.Rep.,0
ee H.R,.,Rep. N,0
.R.Rep,., No. 4,0
ep. No,.," 487, ",0
d Cong,.,", 1st ",0
t Sess,., 2 (19,0
(1971),., In re,1
gement,., In 19,1
gement,., It al,1
l gain,.,""" 17 U",0
""" 17 U",.,S.C. §,0
17 U.S,.,C. § 5,0
 U.S.C,., § 506,0
506(a),., Crimi,1
"0,000)",.,"

Afte",1
n 1982,., Act o,1
"2, Pub",.,L. No.,0
 Pub.L,., No. 9,0
.L. No,., 97-18,0
h Cong,.,", 2d S",0
d Sess,.,", 96 S",0
6 Stat,., 91. C,0
at. 91,., Certa,1
ibuted,.,[5]*54,0
e 18 U,.,S.C. §,0
18 U.S,.,C. § 2,0
 U.S.C,., § 231,0
§ 2319,., The m,1
l gain,.,""" 17 U",0
""" 17 U",.,S.C. §,0
17 U.S,.,C. § 5,0
 U.S.C,., § 506,0
506(a),., Most ,1
ucture,.,"

In t",1
stries,., In 19,1
ing $2,.,4 bill,0
piracy,.," ""Rath",1
 [18 U,.,S.C.] ,0
18 U.S,.,C.] § ,0
 U.S.C,.,] § 23,0
ny Act,.,[6] Sa,0
at 680,., The A,1
ftware,.,[7] Th,0
l gain,.,""" 17 U",0
""" 17 U",.,S.C. §,0
17 U.S,.,C. § 5,0
 U.S.C,., § 506,0
506(a),.,"[8]

D",0
", 18 U",.,S.C. §,0
18 U.S,.,C. § 1,0
 U.S.C,., § 134,0
n 1952,., In it,1
ollows,:,"

Whoe",1
r both,., If th,1
r both,.,"
The w",1
 media,., In it,1
lained,:,"

[T]h",1
 form ,.,.. cre,0
form .,.,. crea,0
orm ..,., creat,0
ision),.,... Th,1
sion).,.,.. The,0
ion)..,.,. The ,0
on)...,., The r,1
 mails,.,... Ev,1
mails.,.,.. Eve,0
ails..,.,. Even,0
ils...,., Even ,1
n fail,., Becau,1
lities,.,"
H.R.R",1
"ies.
H",.,R.Rep.,0
"s.
H.R",.,Rep. N,0
.R.Rep,., No. 3,0
ep. No,.," 388, ",0
d Cong,.,", 1st ",0
t Sess,., 102 (,0
(1951),.,"

As t",1
ssions,.,[9] Th,0
 (18 U,.,S.C. §,0
18 U.S,.,C. § 1,0
 U.S.C,., § 134,0
is met,., Carpe,1
nter v,., Unite,0
 484 U,.,"S. 19,",0
84 U.S,.," 19, 2",0
", 25 n",.," 6, 10",0
 108 S,., Ct. 3,0
 S. Ct,.," 316, ",0
 320 n,.," 6, 98",0
", 98 L",., Ed. 2,0
 L. Ed,., 2d 27,0
(1987),., McEvo,1
"u, Inc",., v. He,0
Inc. v,., Herit,0
"l, Inc",.,", 904 ",0
 904 F,.,2d 786,0
 791 n,., 8 (1s,0
st Cir,.,1990).,0
.1990),., The c,1
turbed,.,"

A sc",1
atutes,., Becau,1
fenses,;, the f,0
tenses,., While,1
onduct,.,""" Mooh",0
ctrine,:, Someo,0
1 Harv,.,J. on ,0
Harv.J,., on Le,0
 Legis,.," 153, ",0
(1994),.,"

The ",1
terest,.,[10] S,0
ates v,., Mande,0
 591 F,.,2d 134,0
th Cir,.,1979).,0
.1979),., Becau,1
choice,.," ""Mail",1
fraud ,.,.. has,0
raud .,.,. has ,0
aud ..,., has b,0
riment,.,""" Mooh",0
1 Harv,.,J. On ,0
Harv.J,., On Le,0
 Legis,., at 16,0
at 163,., Wire ,1
s case,., Unlik,1
", 17 U",.,S.C. §,0
17 U.S,.,C. § 5,0
 U.S.C,., § 506,0
efraud,., See U,1
ates v,., Silva,0
 812 F,.,2d 754,0
st Cir,.,1987).,0
.1987),.,"

Whil",1
ates v,., Carve,0
 260 U,.,S. 482,0
60 U.S,.," 482, ",0
", 43 S",., Ct. 1,0
 S. Ct,.," 181, ",0
", 67 L",., Ed. 3,0
 L. Ed,., 361 (,0
s case,.,"

Dowl",1
ecords,.," So, t",1
ssions,., The g,1
ations,., They ,1
efraud,., See S,1
muck v,., Unite,0
 489 U,.,S. 705,0
89 U.S,.," 705, ",0
 109 S,., Ct. 1,0
 S. Ct,.," 1443,",0
 103 L,., Ed. 2,0
 L. Ed,., 2d 73,0
(1989),.,"

The ",1
alties,.,""" Unit",0
ates v,., Dowli,0
 739 F,.,2d 144,0
th Cir,.,1984).,0
.1984),.," ""It i",1
tation,., A non,1
scheme,.,""" Id. ",0
"e."" Id",., at 14,0
t 1448,., See a,1
ates v,., Silva,0
 812 F,.,2d at ,0
(same),., The N,1
losure,., It al,1
lement,.,""" 739 ",0
 739 F,.,2d at ,0
t 1449,.," ""Rath",1
harged,.,""" Id. ",0
"d."" Id",., This ,1
ctment,.,""" Id. ",0
"t."" Id",., In Do,1
", 17 U",.,S.C. §,0
17 U.S,.,C. § 1,0
 U.S.C,., § 115,0
ecords,.,"

In c",1
eached,., To ho,1
tatute,.,"
739 F",1
"
739 F",.,2d at ,0
t 1450,.,"

The ",1
 three,., First,1
ringed,., Secon,1
scheme,.,[11] T,0
ht Act,.,"[12]

",0
cation,.,""" Gove",0
 at 11,., The g,1
 tools,., This ,1
eneral,.,""" Dowl",0
 473 U,.,S. at ,0
73 U.S,., at 21,0
 218 n,.," 8, 10",0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
3134 n,., 8.[13,0
4 n. 8,.,[13] T,0
o 18 U,.,S.C. §,0
18 U.S,.,C. § 2,0
 U.S.C,., § 231,0
06(a) ,.,.. of ,0
6(a) .,.,. of t,0
(a) ..,., of ti,0
er law,.,""" The ",0
t four,., LaMac,1
506(a),., See a,1
 225 n,.," 18, 1",0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
3137 n,.," 18 (""",0
"pose"")",., Final,1
nter v,., Unite,0
 484 U,.,"S. 19,",0
84 U.S,.," 19,  ",0
 108 S,., Ct. 3,0
 S. Ct,.," 316, ",0
", 98 L",., Ed. 2,0
 L. Ed,., 2d 27,0
atutes,.," ""Abso",1
erests,.,"..."" G",1
rests.,.,".."" Go",0
ests..,.,"."" Gov",0
sts...,.,""" Gove",0
 at 13,., But s,1
ates v,., Riggs,0
 739 F,., Supp.,0
. Supp,.," 414, ",0
423 (N,.,D.Ill.,0
3 (N.D,.,Ill.19,0
.D.Ill,.,1990) ,0
wling ,.,.. rec,0
ling .,.,. reco,0
ing ..,., recog,0
verted,., The o,1
"erty"")",.,"

The ",1
atutes,., I fin,1
 it is,.,"[14] """,0
ctions,.,""" Dowl",0
 473 U,.,S. at ,0
73 U.S,., at 21,0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
t 3133,.," If, a",1
rights,.,""" Dowl",0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
t 3134,.,[16] N,0
al law,., Why i,1
isted ,.,".., fo",0
sted .,.,"., for",0
ted ..,.,", for ",0
"ment]""",?, Dowli,1
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
t 3135,., Final,1
atutes,?,"[17]

",0
al law,., But a,1
iefly ,.,.. on ,0
efly .,.,. on a,0
fly ..,., on an,0
quired,., Dowli,1
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
", 3137",.," ""This",1
t laws,.,""" Id. ",0
"s."" Id",., at 22,0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
t 3137,., Indee,1
alties,.,""" Dowl",0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
t 3138,.,"

""The",1
 theme,., Sound,1
erials,., Congr,1
nology,.,"""
Sony",0
rica v,., Unive,0
"s, Inc",.,", 464 ",0
 464 U,.,S. 417,0
64 U.S,.," 417, ",0
 104 S,., Ct. 7,0
 S. Ct,.," 774, ",0
", 78 L",., Ed. 2,0
 L. Ed,., 2d 57,0
itted),.,"

Whil",1
te use,., It is,1
irable,.,"[18]

",0
r that,:,"

The ",1
onduct,., Thus ,1
 works,.,"
3 Nim",1
", § 15",.,05 at ,0
(1993),., See a,1
", § 11",.,"4.2.2,",0
§ 11.4,.,"2.2, a",0
11.4.2,.,"2, at ",0
 304 n,., 67 (1,0
", 18 U",.,S.C. §,0
18 U.S,.,C. § 2,0
 U.S.C,., § 231,0
ilarly,.,""")

Ac",0
ling v,., Unite,0
tatute,.,"[19]

",0
e done,., If th,1
values,., Crimi,1
ringer,., One c,1
cution,.," But, ",1
shment,.,"'"" Dow",0
 473 U,.,S. at ,0
73 U.S,., at 21,0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
ates v,., Wiltb,0
 Wheat,.," 76, 9",0
"5, 5 L",., Ed. 3,0
 L. Ed,., 37 (1,0
1820)),.,"

ORDE",1
LLOWED,.,"

SO O",1
RDERED,.,"

NOTE",1
riners,.,"

[2] ",1
f 18 U,.,S.C. §,0
18 U.S,.,C. § 2,0
 U.S.C,., § 231,0
ticles,.,"

[3] ",1
yright,., See 1,1
e 17 U,.,S.C. §,0
17 U.S,.,C. § 3,0
 U.S.C,., § 302,0
 § 302,.,"

[4] ",1
"97, ch",.," 4, 29",0
9 Stat,., 481-4,0
81-482,.,"

[5] ",1
y 17 U,.,S.C. §,0
17 U.S,.,C. § 5,0
 U.S.C,., § 506,0
", 18 U",.,S.C. §,0
18 U.S,.,C. § 2,0
 U.S.C,., § 231,0
§ 2319,.,"

[6] ",1
6] Pub,.,L. No.,0
 Pub.L,., No. 1,0
.L. No,., 102-5,0
561 [S,., 893] ,0
dment),., This ,1
dustry,., In 19,1
tatute,., See 1,1
e 17 U,.,S.C. §,0
17 U.S,.,C. § 1,0
 U.S.C,., § 101,0
 § 101,., The C,1
f 17 U,.,S.C. §,0
17 U.S,.,C. § 5,0
 U.S.C,., § 506,0
d 18 U,.,S.C. §,0
18 U.S,.,C. § 2,0
 U.S.C,., § 231,0
§ 2319,., See 1,1
e 17 U,.,S.C. §,0
17 U.S,.,C. § 1,0
 U.S.C,., § 109,0
(b)(4),.,"

[7] ",1
ht law,.,""" S.Re",0
"aw."" S",.,Rep. N,0
 S.Rep,., No. 2,0
ep. No,.," 268, ",0
d Cong,.,", 2d S",0
d Sess,., (1992,0
added),.,"

[8] ",1
opying,.,""" 138 ",0
8 Cong,.,Rec. S,0
ng.Rec,., S. 17,0
Rec. S,., 17958,0
 1992),.,"

[9] ",1
States,.,""" H.R.",0
"es."" H",.,R.Rep.,0
"."" H.R",.,Rep. N,0
.R.Rep,., No. 3,0
ep. No,.," 388, ",0
", at 3",., The p,1
gement,., Defen,1
 at 18,.,"

[10]",1
ally v,., Unite,0
 483 U,.,S. 350,0
83 U.S,.," 350, ",0
 107 S,., Ct. 2,0
 S. Ct,.," 2875,",0
", 97 L",., Ed. 2,0
 L. Ed,., 2d 29,0
1 Harv,.,J. on ,0
Harv.J,., on Le,0
 Legis,., at 15,0
58-170,., The d,1
ontext,., See U,1
ates v,., Georg,0
 477 F,.,2d 508,0
th Cir,.,1973) ,0
close),.,"

[11]",1
oper v,., Unite,0
 639 F,., Supp.,0
. Supp,.," 176, ",0
180 (M,.,D.Fla.,0
0 (M.D,.,Fla.19,0
.D.Fla,.,"1986),",0
cision,.,"

[12]",1
xplain,., Dowli,1
ht Act,.,"

[13]",1
l 1982,., Equal,1
 tools,., One n,1
ht law,.,"

[14]",1
 point,., Howev,1
n I do,., As Ju,1
pinion,:," ""The ",0
t 18 U,.,S.C. §,0
18 U.S,.,C. § 2,0
 U.S.C,., § 231,0
operty,.,""" Dowl",0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
"ell, J",.,", diss",0
nting),.,"

[15]",1
m at 8,.,"

[16]",1
§ 1343,., Gover,1
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
 3139),.,"

[17]",1
onment,., 18 U.,1
. 18 U,.,S.C. §,0
18 U.S,.,C. § 2,0
 U.S.C,., § 231,0
(b)(3),., The s,1
 years,., As de,1
ht Act,.,"

[18]",1
ollows,:," ""Ther",0
copies,., That ,1
areful,., You d,1
al law,.,""" Hear",0
g on S,., 893 (,0
) at p,.," 65.

",0
 p. 65,.,"

[19]",1
t only,., Infri,1
holder,., A sch,1
atutes,., See D,1
 473 U,.,S. at ,0
73 U.S,., at 21,0
 105 S,.,Ct. at,0
5 S.Ct,., at 31,0
" use"")",.,,1
FICE v,.," TAM, ",0
"17)
No",., 15-12,0
Argued,:, Janua,0
ecided,:, June ,0
ersons,., Tam s,1
SLANTS,.,""" The ",0
arage ,., . . o,0
age . ,., . or ,0
e . . ,., or br,0
bring ,., . . i,0
ing . ,., . int,0
g . . ,., into ,0
r dead,.,""" 15 U",0
""" 15 U",., S. C.,0
5 U. S,., C. §1,0
. S. C,., §1052,0
052(a),., Tam c,1
 avail,., He th,1
Clause,.,"

Held",1
"

Held",:, The j,0
firmed,.,"

808 ",1
"
808 F",., 3d 13,0
firmed,.,"

    ",1
luding,:,"

    ",1
     1,., The d,1
 group,., Tam's,1
ersons,.,""" A ma",0
 group,., Tam's,1
eliefs,.,""" §105",0
052(a),., Had C,1
052(c),., Tam c,1
groups,., But a,1
istent,.,""" Barn",0
hart v,., Sigmo,0
oal Co,.,", 534 ",0
 534 U,., S. 43,0
4 U. S,.," 438, ",0
itted),., Even ,1
tening,., Pp. 8,1
ng. Pp,., 8-12.,0
. 8-12,.,"

    ",1
     2,., The d,1
Clause,., Contr,1
speech,., Becau,1
lause ,., . . d,0
use . ,., . doe,0
e . . ,., does ,0
City v,., Summu,0
 555 U,., S. 46,0
5 U. S,.," 460, ",0
speech,., This ,1
points,.,"

    ",1
he PTO,., Excep,1
xpress,., If th,1
datory,., And o,1
rounds,., It is,1
rently,., And n,1
speech,., Johan,1
anns v,., Lives,0
g Assn,.,", 544 ",0
 544 U,., S. 55,0
4 U. S,., 550; ,0
S. 550,;, Pleas,0
City v,., Summu,0
 555 U,., S. 46,0
5 U. S,., 460; ,0
S. 460,;, and W,0
lker v,., Texas,0
as Div,.,", Sons",0
"s, Inc",.,", 576 ",0
 576 U,., S. __,0
6 U. S,.," ___, ",0
uished,., Holdi,1
me way,., Pp. 1,1
ay. Pp,., 12-18,0
 12-18,.,"

    ",1
and IV,:,"

    ",1
uasive,., Those,1
"ent, e",.,"g., fu",0
"t, e.g",.,", fund",0
Rust v,., Sulli,0
 500 U,., S. 17,0
0 U. S,.," 173, ",0
Arts v,., Finle,0
 524 U,., S. 56,0
4 U. S,., 569. ,0
S. 569,., The f,1
ograms,., The P,1
a mark,;, it re,1
ranted,., The G,1
 funds,., This ,1
"ome, e",.,"g., th",0
"e, e.g",.,", the ",0
ghways,., Pp. 1,1
ys. Pp,., 18-20,0
 18-20,.,"

    ",1
 cases,., It po,1
port v,., Washi,0
ton Ed,., Assn.,0
. Assn,.,", 551 ",0
 551 U,., S. 17,0
1 U. S,.," 177, ",0
ursa v,., Pocat,0
llo Ed,., Assn.,0
. Assn,.,", 555 ",0
 555 U,., S. 35,0
5 U. S,.," 353, ",0
emarks,., Cases,1
"see, e",.,"g., Go",0
"e, e.g",.,", Good",0
Club v,., Milfo,0
 533 U,., S. 98,0
3 U. S,.," 98, 1",0
06-107,;, Rosen,0
rger v,., Recto,0
f Univ,., of Va,0
 of Va,.,", 515 ",0
 515 U,., S. 81,0
5 U. S,.," 819, ",0
logous,., But e,1
bidden,., The d,1
 group,., That ,1
t here,:, Givin,0
wpoint,.," The """,1
earers,.,""" Stre",0
reet v,., New Y,0
 394 U,., S. 57,0
4 U. S,.," 576, ",0
"6, 592",., Pp. 2,0
92. Pp,., 20-23,0
 20-23,.,"

    ",1
 Elect,., v. Pu,0
ect. v,., Publi,0
c Serv,., Comm',0
n of N,.," Y., 4",0
f N. Y,.,", 447 ",0
 447 U,., S. 55,0
7 U. S,.," 557, ",0
review,., Under,1
 drawn,.,""" Id.,",0
"n."" Id",.,", at 5",0
itted),., One p,1
ndment,., The s,1
nation,;, but t,0
 drawn,., Pp.  ,1
wn. Pp,.,  23-2,0
 23-26,.,"

    ",1
t 15 U,., S. C.,0
5 U. S,., C. §1,0
. S. C,., §1052,0
luding,:,"

    ",1
onveys,., See R,1
rger v,., Recto,0
f Univ,., of Va,0
 of Va,.,", 515 ",0
 515 U,., S. 81,0
5 U. S,.," 819, ",0
28-829,., The t,1
ressed,.," Here,",1
052(a),;, and w,0
ry one,., The l,1
nation,., The G,1
uasive,., Pp. 2,1
ve. Pp,.," 2-5.
",0
p. 2-5,.,"

    ",1
rutiny,., See S,1
rell v,., IMS H,0
th Inc,.,", 564 ",0
 564 U,., S. 55,0
4 U. S,.," 552, ",0
"2, 566",., To th,1
rality,., In th,1
eality,., To pe,1
orship,., Pp. 5,1
ip. Pp,.," 5-7.
",0
p. 5-7,.,"

    ",1
"ITO, J",.,", anno",0
"RTS, C",.," J., a",0
", C. J",.,", and ",0
"AN, JJ",.,", join",0
"MAS, J",.,", join",0
"RTS, C",.," J., a",0
", C. J",.,", and ",0
"ER, JJ",.,", join",0
joined,., KENNE,1
"EDY, J",.,", file",0
"AN, JJ",.,", join",0
joined,., THOMA,1
"MAS, J",.,", file",0
dgment,., GORSU,1
"UCH, J",.,", took",0
e case,.,"

Opin",1
 582 U,., S. __,0
2 U. S,., ____ ,0
NOTICE,:, This ,0
eports,., Reade,1
"ton, D",., C. 20,0
", D. C",., 20543,0
 press,.,"

No. ",1
"s.

No",., 15-12,0
ONER v,., SIMON,0
R join,.,"

    ",1
Slants,.,""" ""Sla",0
ricans,., But t,1
 force,.,"

    ",1
arage ,., . . o,0
age . ,., . or ,0
e . . ,., or br,0
bring ,., . . i,0
ing . ,., . int,0
g . . ,., into ,0
r dead,.,""" 15 U",0
""" 15 U",., S. C.,0
5 U. S,., C. §1,0
. S. C,., §1052,0
052(a),., We no,1
ndment,., It of,1
nciple,:, Speec,1
offend,.,"

I

A",1
others,.,""" B&B ",0
"e, Inc",., v. Ha,0
Inc. v,., Hargi,0
"s, Inc",.,", 575 ",0
 575 U,., S. __,0
